GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tfg_backend,com.tfg.lunaris_backend.domain.dto,PostRequestDto,0,24,0,0,0,11,0,7,0,7
tfg_backend,com.tfg.lunaris_backend.domain.dto,PostResponseDto.UserDto,0,18,0,0,0,8,0,4,0,4
tfg_backend,com.tfg.lunaris_backend.domain.dto,PostResponseDto.CommentDto,0,24,0,0,0,10,0,5,0,5
tfg_backend,com.tfg.lunaris_backend.domain.dto,CommentRequestDto,0,17,0,0,0,8,0,5,0,5
tfg_backend,com.tfg.lunaris_backend.domain.dto,NewsRequestDto,0,31,0,0,0,14,0,9,0,9
tfg_backend,com.tfg.lunaris_backend.domain.dto,PostResponseDto,0,48,0,0,0,18,0,9,0,9
tfg_backend,com.tfg.lunaris_backend.domain.dto,OpenLibrarySearchResponseDto,0,11,1,3,0,1,1,2,0,1
tfg_backend,com.tfg.lunaris_backend.domain.dto,OpenLibraryBookDto,0,24,0,6,0,4,0,5,0,2
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,UserNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,UserListNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,ReviewNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,BookNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,SagaNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,GenreNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,GlobalExceptionHandler,6,45,0,0,1,8,1,8,1,8
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,DuplicateBookException,4,0,0,0,2,0,1,0,1,0
tfg_backend,com.tfg.lunaris_backend.presentation.exceptions,AuthorNotFoundException,0,4,0,0,0,2,0,1,0,1
tfg_backend,com.tfg.lunaris_backend.data.config,SecurityConfig,0,293,0,0,0,43,0,10,0,10
tfg_backend,com.tfg.lunaris_backend.data.config,RestTemplateConfig,0,18,0,0,0,5,0,2,0,2
